iter,train_loss,val_loss,lr,ms_per_iter
0,9.8578,9.8535,7.500e-07,30460
500,4.2927,4.2780,2.999e-04,42236
1000,3.3902,3.3503,2.959e-04,42233
1500,3.1621,3.1659,2.863e-04,42242
2000,3.0842,2.9899,2.715e-04,42235
2500,2.9688,2.9425,2.523e-04,42239
3000,2.8805,2.8904,2.293e-04,42240
3500,2.8472,2.8124,2.035e-04,42243
4000,2.7988,2.7967,1.761e-04,42238
4500,2.7495,2.8023,1.483e-04,42229
5000,2.7255,2.7617,1.212e-04,42248
5500,2.6658,2.7037,9.590e-05,42223
6000,2.6990,2.7674,7.357e-05,42239
6500,2.6625,2.7139,5.513e-05,42242
7000,2.6621,2.6813,4.137e-05,42232
7500,2.6424,2.7215,3.287e-05,42236
8000,2.6118,2.6645,3.000e-05,42229
